Pincode,StateName
851130,BIHAR
851203,BIHAR
851205,BIHAR
502303,TELANGANA
851212,BIHAR
851215,BIHAR
851216,BIHAR
848203,BIHAR
851206,BIHAR
852129,BIHAR
851131,BIHAR
851117,BIHAR
851217,BIHAR
851132,BIHAR
851218,BIHAR
851133,BIHAR
851134,BIHAR
852219,BIHAR
852128,BIHAR
852132,BIHAR
852130,BIHAR
852131,BIHAR
534222,ANDHRA PRADESH
534004,ANDHRA PRADESH
534425,ANDHRA PRADESH
534448,ANDHRA PRADESH
852126,BIHAR
852127,BIHAR
500090,TELANGANA
524405,ANDHRA PRADESH
515741,ANDHRA PRADESH
532148,ANDHRA PRADESH
852221,BIHAR
532455,ANDHRA PRADESH
532457,ANDHRA PRADESH
518196,ANDHRA PRADESH
518543,ANDHRA PRADESH
518124,ANDHRA PRADESH
518523,ANDHRA PRADESH
518553,ANDHRA PRADESH
822124,JHARKHAND
822134,JHARKHAND
533007,ANDHRA PRADESH
517505,ANDHRA PRADESH
508245,TELANGANA
508244,TELANGANA
508373,TELANGANA
508254,TELANGANA
508266,TELANGANA
508002,TELANGANA
508256,TELANGANA
503217,TELANGANA
500075,TELANGANA
500089,TELANGANA
999999,TELANGANA
534406,ANDHRA PRADESH
534460,ANDHRA PRADESH
534462,ANDHRA PRADESH
534426,ANDHRA PRADESH
534455,ANDHRA PRADESH
534456,ANDHRA PRADESH
534449,ANDHRA PRADESH
534311,ANDHRA PRADESH
534312,ANDHRA PRADESH
534475,ANDHRA PRADESH
534451,ANDHRA PRADESH
783385,ASSAM
532187,ANDHRA PRADESH
533440,ANDHRA PRADESH
518583,ANDHRA PRADESH
518593,ANDHRA PRADESH
523331,ANDHRA PRADESH
755025,ODISHA
755004,ODISHA
755005,ODISHA
755062,ODISHA
755026,ODISHA
848506,BIHAR
848216,BIHAR
848113,BIHAR
848207,BIHAR
802163,BIHAR
755007,ODISHA
755008,ODISHA
755024,ODISHA
755019,ODISHA
755023,ODISHA
753004,ODISHA
754131,ODISHA
754021,ODISHA
754130,ODISHA
755006,ODISHA
755009,ODISHA
523346,ANDHRA PRADESH
523328,ANDHRA PRADESH
523368,ANDHRA PRADESH
523369,ANDHRA PRADESH
384440,GUJARAT
506310,TELANGANA
506314,TELANGANA
506166,TELANGANA
504299,TELANGANA
506317,TELANGANA
506008,TELANGANA
506163,TELANGANA
846004,BIHAR
385320,GUJARAT
383030,GUJARAT
385505,GUJARAT
385535,GUJARAT
495220,CHHATTISGARH
506318,TELANGANA
516104,ANDHRA PRADESH
517129,ANDHRA PRADESH
784175,ASSAM
788815,ASSAM
815352,JHARKHAND
518302,ANDHRA PRADESH
518395,ANDHRA PRADESH
518347,ANDHRA PRADESH
518348,ANDHRA PRADESH
518333,ANDHRA PRADESH
518346,ANDHRA PRADESH
518308,ANDHRA PRADESH
518350,ANDHRA PRADESH
518344,ANDHRA PRADESH
518313,ANDHRA PRADESH
518345,ANDHRA PRADESH
518343,ANDHRA PRADESH
518396,ANDHRA PRADESH
518380,ANDHRA PRADESH
518323,ANDHRA PRADESH
517415,ANDHRA PRADESH
517416,ANDHRA PRADESH
517004,ANDHRA PRADESH
517002,ANDHRA PRADESH
517125,ANDHRA PRADESH
506313,TELANGANA
508223,TELANGANA
506316,TELANGANA
759101,ODISHA
506222,TELANGANA
506005,TELANGANA
506333,TELANGANA
509382,TELANGANA
509407,TELANGANA
509204,TELANGANA
509205,TELANGANA
509334,TELANGANA
509350,TELANGANA
509002,TELANGANA
509353,TELANGANA
509371,TELANGANA
509339,TELANGANA
509352,TELANGANA
508214,TELANGANA
534461,ANDHRA PRADESH
534401,ANDHRA PRADESH
534452,ANDHRA PRADESH
851202,BIHAR
523370,ANDHRA PRADESH
523332,ANDHRA PRADESH
523371,ANDHRA PRADESH
523372,ANDHRA PRADESH
523320,ANDHRA PRADESH
523326,ANDHRA PRADESH
523329,ANDHRA PRADESH
518135,ANDHRA PRADESH
802160,BIHAR
802161,BIHAR
505503,TELANGANA
754035,ODISHA
754201,ODISHA
754030,ODISHA
518674,ANDHRA PRADESH
518134,ANDHRA PRADESH
518123,ANDHRA PRADESH
531118,ANDHRA PRADESH
517643,ANDHRA PRADESH
533464,ANDHRA PRADESH
533430,ANDHRA PRADESH
822125,JHARKHAND
517589,ANDHRA PRADESH
517590,ANDHRA PRADESH
517591,ANDHRA PRADESH
517620,ANDHRA PRADESH
535593,ANDHRA PRADESH
535125,ANDHRA PRADESH
535568,ANDHRA PRADESH
535579,ANDHRA PRADESH
535591,ANDHRA PRADESH
535128,ANDHRA PRADESH
535003,ANDHRA PRADESH
535546,ANDHRA PRADESH
535101,ANDHRA PRADESH
508206,TELANGANA
508233,TELANGANA
508221,TELANGANA
508279,TELANGANA
508212,TELANGANA
508280,TELANGANA
333010,RAJASTHAN
508277,TELANGANA
508284,TELANGANA
845307,BIHAR
824219,BIHAR
824116,BIHAR
824217,BIHAR
824201,BIHAR
824111,BIHAR
768204,ODISHA
524321,ANDHRA PRADESH
524407,ANDHRA PRADESH
524401,ANDHRA PRADESH
524415,ANDHRA PRADESH
524320,ANDHRA PRADESH
524132,ANDHRA PRADESH
524413,ANDHRA PRADESH
524309,ANDHRA PRADESH
524402,ANDHRA PRADESH
517130,ANDHRA PRADESH
517128,ANDHRA PRADESH
517131,ANDHRA PRADESH
517432,ANDHRA PRADESH
814165,JHARKHAND
814154,JHARKHAND
516004,ANDHRA PRADESH
788164,ASSAM
788168,ASSAM
517640,ANDHRA PRADESH
517586,ANDHRA PRADESH
517642,ANDHRA PRADESH
517587,ANDHRA PRADESH
517583,ANDHRA PRADESH
517588,ANDHRA PRADESH
517571,ANDHRA PRADESH
517641,ANDHRA PRADESH
517541,ANDHRA PRADESH
517584,ANDHRA PRADESH
517619,ANDHRA PRADESH
517561,ANDHRA PRADESH
517569,ANDHRA PRADESH
755010,ODISHA
524347,ANDHRA PRADESH
506002,TELANGANA
515291,ANDHRA PRADESH
515261,ANDHRA PRADESH
515124,ANDHRA PRADESH
515110,ANDHRA PRADESH
515305,ANDHRA PRADESH
515123,ANDHRA PRADESH
515122,ANDHRA PRADESH
783330,ASSAM
533223,ANDHRA PRADESH
533254,ANDHRA PRADESH
534245,ANDHRA PRADESH
534126,ANDHRA PRADESH
534123,ANDHRA PRADESH
534266,ANDHRA PRADESH
534268,ANDHRA PRADESH
534265,ANDHRA PRADESH
534338,ANDHRA PRADESH
534250,ANDHRA PRADESH
534281,ANDHRA PRADESH
534275,ANDHRA PRADESH
506165,TELANGANA
506349,TELANGANA
508112,TELANGANA
508286,TELANGANA
508115,TELANGANA
508252,TELANGANA
506169,TELANGANA
382315,GUJARAT
506356,TELANGANA
506345,TELANGANA
504106,TELANGANA
534209,ANDHRA PRADESH
533297,ANDHRA PRADESH
533296,ANDHRA PRADESH
533354,ANDHRA PRADESH
533353,ANDHRA PRADESH
851126,BIHAR
534467,ANDHRA PRADESH
506331,TELANGANA
509338,TELANGANA
508205,TELANGANA
787023,ASSAM
787052,ASSAM
787056,ASSAM
523166,ANDHRA PRADESH
523168,ANDHRA PRADESH
500064,TELANGANA
524127,ANDHRA PRADESH
523101,ANDHRA PRADESH
523274,ANDHRA PRADESH
523292,ANDHRA PRADESH
523279,ANDHRA PRADESH
523116,ANDHRA PRADESH
523272,ANDHRA PRADESH
523104,ANDHRA PRADESH
523110,ANDHRA PRADESH
523112,ANDHRA PRADESH
523247,ANDHRA PRADESH
523246,ANDHRA PRADESH
523227,ANDHRA PRADESH
534280,ANDHRA PRADESH
534217,ANDHRA PRADESH
534330,ANDHRA PRADESH
534218,ANDHRA PRADESH
534227,ANDHRA PRADESH
534320,ANDHRA PRADESH
534328,ANDHRA PRADESH
534324,ANDHRA PRADESH
852137,BIHAR
852138,BIHAR
852139,BIHAR
852220,BIHAR
523241,ANDHRA PRADESH
523304,ANDHRA PRADESH
523223,ANDHRA PRADESH
523265,ANDHRA PRADESH
524404,ANDHRA PRADESH
524341,ANDHRA PRADESH
524406,ANDHRA PRADESH
524412,ANDHRA PRADESH
